course_id,short_name,long_name,account_id,term_id,start_date,end_date,status
TEMPLATE-BIO145AdvancedPrinciplesofEcologyandSustainableBiotechnologies,TEMPLATE-BIO 145: Advanced Principles of Ecology and Sustainable Biotechnologies,TEMPLATE-BIO 145: Advanced Principles of Ecology and Sustainable Biotechnologies,Templates,Templates,,,active
TEMPLATE-BioinformaticsIntegratingBiologyandComputerScienceforDataAnalysis,TEMPLATE-Bioinformatics: Integrating Biology and Computer Science for Data Analysis,TEMPLATE-Bioinformatics: Integrating Biology and Computer Science for Data Analysis,Templates,Templates,,,active
TEMPLATE-BioinformaticsandComputationalBiologyAnalyzingGenomeswithPython,TEMPLATE-Bioinformatics and Computational Biology: Analyzing Genomes with Python,TEMPLATE-Bioinformatics and Computational Biology: Analyzing Genomes with Python,Templates,Templates,,,active
TEMPLATE-BiochemistryandMolecularBiologyExploringLife'sBuildingBlocksat108,TEMPLATE-Biochemistry and Molecular Biology: Exploring Life's Building Blocks at 108,TEMPLATE-Biochemistry and Molecular Biology: Exploring Life's Building Blocks at 108,Templates,Templates,,,active
TEMPLATE-NursinginUrbanResilienceAComprehensiveApproach(Course212),TEMPLATE-Nursing in Urban Resilience: A Comprehensive Approach (Course 212),TEMPLATE-Nursing in Urban Resilience: A Comprehensive Approach (Course 212),Templates,Templates,,,active
TEMPLATE-AdvancedClinicalDecision-MakingandPatientCareStrategiesAComprehensiveStudyinNursing,TEMPLATE-Advanced Clinical Decision-Making and Patient Care Strategies: A Comprehensive Study in Nursing,TEMPLATE-Advanced Clinical Decision-Making and Patient Care Strategies: A Comprehensive Study in Nursing,Templates,Templates,,,active
TEMPLATE-NursingResearchMethodsandAnalysisPrinciples&Applications(CourseCodeNUR279),TEMPLATE-Nursing Research Methods and Analysis: Principles & Applications (Course Code: NUR 279),TEMPLATE-Nursing Research Methods and Analysis: Principles & Applications (Course Code: NUR 279),Templates,Templates,,,active
TEMPLATE-NursingResearchFundamentalsEvidence-BasedPracticeandPatientOutcomes,TEMPLATE-Nursing Research Fundamentals: Evidence-Based Practice and Patient Outcomes,TEMPLATE-Nursing Research Fundamentals: Evidence-Based Practice and Patient Outcomes,Templates,Templates,,,active
TEMPLATE-EngineeringPrinciplesandApplicationsAComprehensiveStudyofModernEngineering(CourseCodeENG188),TEMPLATE-Engineering Principles and Applications: A Comprehensive Study of Modern Engineering (Course Code: ENG 188),TEMPLATE-Engineering Principles and Applications: A Comprehensive Study of Modern Engineering (Course Code: ENG 188),Templates,Templates,,,active
TEMPLATE-AdvancedLiteraryAnalysisExploringDiverseNarrativesandGenres,TEMPLATE-Advanced Literary Analysis: Exploring Diverse Narratives and Genres,TEMPLATE-Advanced Literary Analysis: Exploring Diverse Narratives and Genres,Templates,Templates,,,active
